2024-07-09 10:51:08 - HV000001: Hibernate Validator 8.0.1.Final
2024-07-09 10:51:10 - Adding type registration characters -> org.hibernate.type.BasicTypeReference@69322d19
2024-07-09 10:51:10 - Adding type registration char[] -> org.hibernate.type.BasicTypeReference@69322d19
2024-07-09 10:51:10 - Adding type registration [C -> org.hibernate.type.BasicTypeReference@69322d19
2024-07-09 10:51:10 - Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@215e1801
2024-07-09 10:51:10 - Adding type registration text -> org.hibernate.type.BasicTypeReference@73625aa5
2024-07-09 10:51:10 - Adding type registration ntext -> org.hibernate.type.BasicTypeReference@739d7275
2024-07-09 10:51:10 - Adding type registration clob -> org.hibernate.type.BasicTypeReference@bbfc3fa
2024-07-09 10:51:10 - Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@bbfc3fa
2024-07-09 10:51:10 - Adding type registration nclob -> org.hibernate.type.BasicTypeReference@5af04c9c
2024-07-09 10:51:10 - Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@5af04c9c
2024-07-09 10:51:10 - Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@3b269215
2024-07-09 10:51:10 - Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@23b051de
2024-07-09 10:51:10 - Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@56e5e641
2024-07-09 10:51:10 - Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@e29c4ad
2024-07-09 10:51:10 - Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@1105947
2024-07-09 10:51:10 - Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@208fc61a
2024-07-09 10:51:10 - Adding type registration Duration -> org.hibernate.type.BasicTypeReference@59a1eba4
2024-07-09 10:51:10 - Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@59a1eba4
2024-07-09 10:51:10 - Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@196d4091
2024-07-09 10:51:10 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@196d4091
2024-07-09 10:51:10 - Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@1a34e89a
2024-07-09 10:51:10 - Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@1a34e89a
2024-07-09 10:51:10 - Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@445542d0
2024-07-09 10:51:10 - Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@445542d0
2024-07-09 10:51:10 - Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@12ff6d35
2024-07-09 10:51:10 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@12ff6d35
2024-07-09 10:51:10 - Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@6165de33
2024-07-09 10:51:10 - Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@5ca89abd
2024-07-09 10:51:10 - Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@3285003a
2024-07-09 10:51:10 - Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@3285003a
2024-07-09 10:51:10 - Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@5b7a459a
2024-07-09 10:51:10 - Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@14a18c80
2024-07-09 10:51:10 - Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@c4491db
2024-07-09 10:51:10 - Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@165ac4b9
2024-07-09 10:51:10 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@165ac4b9
